actor_id,first_name,last_name,last_update
1,PENELOPE,GUINESS,2006-02-15 04:34:33.0
2,NICK,WAHLBERG,2006-02-15 04:34:33.0
3,ED,CHASE,2006-02-15 04:34:33.0
4,JENNIFER,DAVIS,2006-02-15 04:34:33.0
5,JOHNNY,LOLLOBRIGIDA,2006-02-15 04:34:33.0
6,BETTE,NICHOLSON,2006-02-15 04:34:33.0
7,GRACE,MOSTEL,2006-02-15 04:34:33.0
8,MATTHEW,JOHANSSON,2006-02-15 04:34:33.0
9,JOE,SWANK,2006-02-15 04:34:33.0
10,CHRISTIAN,GABLE,2006-02-15 04:34:33.0
11,ZERO,CAGE,2006-02-15 04:34:33.0
12,KARL,BERRY,2006-02-15 04:34:33.0
13,UMA,WOOD,2006-02-15 04:34:33.0
14,VIVIEN,BERGEN,2006-02-15 04:34:33.0
15,CUBA,OLIVIER,2006-02-15 04:34:33.0
16,FRED,COSTNER,2006-02-15 04:34:33.0
17,HELEN,VOIGHT,2006-02-15 04:34:33.0
18,DAN,TORN,2006-02-15 04:34:33.0
19,BOB,FAWCETT,2006-02-15 04:34:33.0
20,LUCILLE,TRACY,2006-02-15 04:34:33.0
21,KIRSTEN,PALTROW,2006-02-15 04:34:33.0
22,ELVIS,MARX,2006-02-15 04:34:33.0
23,SANDRA,KILMER,2006-02-15 04:34:33.0
24,CAMERON,STREEP,2006-02-15 04:34:33.0
25,KEVIN,BLOOM,2006-02-15 04:34:33.0
26,RIP,CRAWFORD,2006-02-15 04:34:33.0
27,JULIA,MCQUEEN,2006-02-15 04:34:33.0
28,WOODY,HOFFMAN,2006-02-15 04:34:33.0
29,ALEC,WAYNE,2006-02-15 04:34:33.0
30,SANDRA,PECK,2006-02-15 04:34:33.0
31,SISSY,SOBIESKI,2006-02-15 04:34:33.0
32,TIM,HACKMAN,2006-02-15 04:34:33.0
33,MILLA,PECK,2006-02-15 04:34:33.0
34,AUDREY,OLIVIER,2006-02-15 04:34:33.0
35,JUDY,DEAN,2006-02-15 04:34:33.0
36,BURT,DUKAKIS,2006-02-15 04:34:33.0
37,VAL,BOLGER,2006-02-15 04:34:33.0
38,TOM,MCKELLEN,2006-02-15 04:34:33.0
39,GOLDIE,BRODY,2006-02-15 04:34:33.0
40,JOHNNY,CAGE,2006-02-15 04:34:33.0
41,JODIE,DEGENERES,2006-02-15 04:34:33.0
42,TOM,MIRANDA,2006-02-15 04:34:33.0
