film_id,category_id,last_update
1,6,2006-02-15 05:07:09.0
2,11,2006-02-15 05:07:09.0
3,6,2006-02-15 05:07:09.0
4,11,2006-02-15 05:07:09.0
5,8,2006-02-15 05:07:09.0
6,9,2006-02-15 05:07:09.0
7,5,2006-02-15 05:07:09.0
8,11,2006-02-15 05:07:09.0
9,11,2006-02-15 05:07:09.0
10,15,2006-02-15 05:07:09.0
11,9,2006-02-15 05:07:09.0
12,12,2006-02-15 05:07:09.0
13,11,2006-02-15 05:07:09.0
14,4,2006-02-15 05:07:09.0
15,9,2006-02-15 05:07:09.0
16,9,2006-02-15 05:07:09.0
17,12,2006-02-15 05:07:09.0
18,2,2006-02-15 05:07:09.0
19,1,2006-02-15 05:07:09.0
20,12,2006-02-15 05:07:09.0
21,1,2006-02-15 05:07:09.0
22,13,2006-02-15 05:07:09.0
23,2,2006-02-15 05:07:09.0
24,11,2006-02-15 05:07:09.0
25,13,2006-02-15 05:07:09.0
26,14,2006-02-15 05:07:09.0
27,15,2006-02-15 05:07:09.0
28,5,2006-02-15 05:07:09.0
29,1,2006-02-15 05:07:09.0
30,11,2006-02-15 05:07:09.0
31,8,2006-02-15 05:07:09.0
32,13,2006-02-15 05:07:09.0
33,7,2006-02-15 05:07:09.0
34,11,2006-02-15 05:07:09.0
35,11,2006-02-15 05:07:09.0
36,2,2006-02-15 05:07:09.0
37,4,2006-02-15 05:07:09.0
38,1,2006-02-15 05:07:09.0
39,14,2006-02-15 05:07:09.0
40,6,2006-02-15 05:07:09.0
41,16,2006-02-15 05:07:09.0
42,15,2006-02-15 05:07:09.0
43,8,2006-02-15 05:07:09.0
44,14,2006-02-15 05:07:09.0
45,13,2006-02-15 05:07:09.0
46,10,2006-02-15 05:07:09.0
47,9,2006-02-15 05:07:09.0
48,3,2006-02-15 05:07:09.0
49,14,2006-02-15 05:07:09.0
50,8,2006-02-15 05:07:09.0
51,12,2006-02-15 05:07:09.0
52,9,2006-02-15 05:07:09.0
53,8,2006-02-15 05:07:09.0
54,12,2006-02-15 05:07:09.0
55,14,2006-02-15 05:07:09.0
56,1,2006-02-15 05:07:09.0
57,16,2006-02-15 05:07:09.0
58,6,2006-02-15 05:07:09.0
59,3,2006-02-15 05:07:09.0
60,4,2006-02-15 05:07:09.0
61,7,2006-02-15 05:07:09.0
62,6,2006-02-15 05:07:09.0
63,8,2006-02-15 05:07:09.0
64,7,2006-02-15 05:07:09.0
65,11,2006-02-15 05:07:09.0
66,3,2006-02-15 05:07:09.0
67,1,2006-02-15 05:07:09.0
68,3,2006-02-15 05:07:09.0
69,14,2006-02-15 05:07:09.0
70,2,2006-02-15 05:07:09.0
71,8,2006-02-15 05:07:09.0
72,6,2006-02-15 05:07:09.0
73,14,2006-02-15 05:07:09.0
74,12,2006-02-15 05:07:09.0
75,16,2006-02-15 05:07:09.0
76,12,2006-02-15 05:07:09.0
77,13,2006-02-15 05:07:09.0
78,2,2006-02-15 05:07:09.0
79,7,2006-02-15 05:07:09.0
80,8,2006-02-15 05:07:09.0
81,14,2006-02-15 05:07:09.0
82,8,2006-02-15 05:07:09.0
83,8,2006-02-15 05:07:09.0
84,16,2006-02-15 05:07:09.0
85,6,2006-02-15 05:07:09.0
86,12,2006-02-15 05:07:09.0
87,16,2006-02-15 05:07:09.0
88,16,2006-02-15 05:07:09.0
89,2,2006-02-15 05:07:09.0
90,13,2006-02-15 05:07:09.0
91,4,2006-02-15 05:07:09.0
92,11,2006-02-15 05:07:09.0
