actor_id,film_id,last_update
1,1,2006-02-15 05:05:03.0
1,23,2006-02-15 05:05:03.0
1,25,2006-02-15 05:05:03.0
1,106,2006-02-15 05:05:03.0
1,140,2006-02-15 05:05:03.0
1,166,2006-02-15 05:05:03.0
1,277,2006-02-15 05:05:03.0
1,361,2006-02-15 05:05:03.0
1,438,2006-02-15 05:05:03.0
1,499,2006-02-15 05:05:03.0
1,506,2006-02-15 05:05:03.0
1,509,2006-02-15 05:05:03.0
1,605,2006-02-15 05:05:03.0
1,635,2006-02-15 05:05:03.0
1,749,2006-02-15 05:05:03.0
1,832,2006-02-15 05:05:03.0
1,939,2006-02-15 05:05:03.0
1,970,2006-02-15 05:05:03.0
1,980,2006-02-15 05:05:03.0
2,3,2006-02-15 05:05:03.0
2,31,2006-02-15 05:05:03.0
2,47,2006-02-15 05:05:03.0
2,105,2006-02-15 05:05:03.0
2,132,2006-02-15 05:05:03.0
2,145,2006-02-15 05:05:03.0
2,226,2006-02-15 05:05:03.0
2,249,2006-02-15 05:05:03.0
2,314,2006-02-15 05:05:03.0
2,321,2006-02-15 05:05:03.0
2,357,2006-02-15 05:05:03.0
2,369,2006-02-15 05:05:03.0
2,399,2006-02-15 05:05:03.0
2,458,2006-02-15 05:05:03.0
2,481,2006-02-15 05:05:03.0
2,485,2006-02-15 05:05:03.0
2,518,2006-02-15 05:05:03.0
2,540,2006-02-15 05:05:03.0
2,550,2006-02-15 05:05:03.0
2,555,2006-02-15 05:05:03.0
2,561,2006-02-15 05:05:03.0
2,742,2006-02-15 05:05:03.0
2,754,2006-02-15 05:05:03.0
2,811,2006-02-15 05:05:03.0
2,958,2006-02-15 05:05:03.0
3,17,2006-02-15 05:05:03.0
3,40,2006-02-15 05:05:03.0
3,42,2006-02-15 05:05:03.0
3,87,2006-02-15 05:05:03.0
3,111,2006-02-15 05:05:03.0
3,185,2006-02-15 05:05:03.0
3,289,2006-02-15 05:05:03.0
3,329,2006-02-15 05:05:03.0
3,336,2006-02-15 05:05:03.0
3,341,2006-02-15 05:05:03.0
3,393,2006-02-15 05:05:03.0
3,441,2006-02-15 05:05:03.0
3,453,2006-02-15 05:05:03.0
3,480,2006-02-15 05:05:03.0
3,539,2006-02-15 05:05:03.0
3,618,2006-02-15 05:05:03.0
3,685,2006-02-15 05:05:03.0
3,827,2006-02-15 05:05:03.0
3,966,2006-02-15 05:05:03.0
3,967,2006-02-15 05:05:03.0
3,971,2006-02-15 05:05:03.0
3,996,2006-02-15 05:05:03.0
4,23,2006-02-15 05:05:03.0
4,25,2006-02-15 05:05:03.0
4,56,2006-02-15 05:05:03.0
4,62,2006-02-15 05:05:03.0
4,79,2006-02-15 05:05:03.0
4,87,2006-02-15 05:05:03.0
4,355,2006-02-15 05:05:03.0
4,379,2006-02-15 05:05:03.0
4,398,2006-02-15 05:05:03.0
4,463,2006-02-15 05:05:03.0
4,490,2006-02-15 05:05:03.0
4,616,2006-02-15 05:05:03.0
4,635,2006-02-15 05:05:03.0
4,691,2006-02-15 05:05:03.0
4,712,2006-02-15 05:05:03.0
4,714,2006-02-15 05:05:03.0
4,721,2006-02-15 05:05:03.0
4,798,2006-02-15 05:05:03.0
4,832,2006-02-15 05:05:03.0
4,858,2006-02-15 05:05:03.0
4,909,2006-02-15 05:05:03.0
4,924,2006-02-15 05:05:03.0
5,19,2006-02-15 05:05:03.0
5,54,2006-02-15 05:05:03.0
5,85,2006-02-15 05:05:03.0
5,146,2006-02-15 05:05:03.0
5,171,2006-02-15 05:05:03.0
5,172,2006-02-15 05:05:03.0
5,202,2006-02-15 05:05:03.0
5,203,2006-02-15 05:05:03.0
5,286,2006-02-15 05:05:03.0
5,288,2006-02-15 05:05:03.0
5,316,2006-02-15 05:05:03.0
5,340,2006-02-15 05:05:03.0
5,369,2006-02-15 05:05:03.0
5,375,2006-02-15 05:05:03.0
5,383,2006-02-15 05:05:03.0
5,392,2006-02-15 05:05:03.0
5,411,2006-02-15 05:05:03.0
5,503,2006-02-15 05:05:03.0
5,535,2006-02-15 05:05:03.0
5,571,2006-02-15 05:05:03.0
5,650,2006-02-15 05:05:03.0
5,665,2006-02-15 05:05:03.0
5,687,2006-02-15 05:05:03.0
5,730,2006-02-15 05:05:03.0
5,732,2006-02-15 05:05:03.0
5,811,2006-02-15 05:05:03.0
5,817,2006-02-15 05:05:03.0
5,841,2006-02-15 05:05:03.0
5,865,2006-02-15 05:05:03.0
6,29,2006-02-15 05:05:03.0
6,53,2006-02-15 05:05:03.0
6,60,2006-02-15 05:05:03.0
6,70,2006-02-15 05:05:03.0
6,112,2006-02-15 05:05:03.0
6,164,2006-02-15 05:05:03.0
6,165,2006-02-15 05:05:03.0
6,193,2006-02-15 05:05:03.0
6,256,2006-02-15 05:05:03.0
6,451,2006-02-15 05:05:03.0
6,503,2006-02-15 05:05:03.0
6,509,2006-02-15 05:05:03.0
6,517,2006-02-15 05:05:03.0
6,519,2006-02-15 05:05:03.0
6,605,2006-02-15 05:05:03.0
6,692,2006-02-15 05:05:03.0
6,826,2006-02-15 05:05:03.0
6,892,2006-02-15 05:05:03.0
6,902,2006-02-15 05:05:03.0
6,994,2006-02-15 05:05:03.0
7,25,2006-02-15 05:05:03.0
7,27,2006-02-15 05:05:03.0
7,35,2006-02-15 05:05:03.0
7,67,2006-02-15 05:05:03.0
7,96,2006-02-15 05:05:03.0
7,170,2006-02-15 05:05:03.0
7,173,2006-02-15 05:05:03.0
7,217,2006-02-15 05:05:03.0
7,218,2006-02-15 05:05:03.0
7,225,2006-02-15 05:05:03.0
7,292,2006-02-15 05:05:03.0
7,351,2006-02-15 05:05:03.0
7,414,2006-02-15 05:05:03.0
7,463,2006-02-15 05:05:03.0
7,554,2006-02-15 05:05:03.0
7,618,2006-02-15 05:05:03.0
7,633,2006-02-15 05:05:03.0
7,637,2006-02-15 05:05:03.0
7,691,2006-02-15 05:05:03.0
7,758,2006-02-15 05:05:03.0
7,766,2006-02-15 05:05:03.0
7,770,2006-02-15 05:05:03.0
7,805,2006-02-15 05:05:03.0
7,806,2006-02-15 05:05:03.0
7,846,2006-02-15 05:05:03.0
7,900,2006-02-15 05:05:03.0
7,901,2006-02-15 05:05:03.0
7,910,2006-02-15 05:05:03.0
7,957,2006-02-15 05:05:03.0
7,959,2006-02-15 05:05:03.0
8,47,2006-02-15 05:05:03.0
8,115,2006-02-15 05:05:03.0
8,158,2006-02-15 05:05:03.0
8,179,2006-02-15 05:05:03.0
8,195,2006-02-15 05:05:03.0
8,205,2006-02-15 05:05:03.0
8,255,2006-02-15 05:05:03.0
8,263,2006-02-15 05:05:03.0
8,321,2006-02-15 05:05:03.0
8,396,2006-02-15 05:05:03.0
8,458,2006-02-15 05:05:03.0
8,523,2006-02-15 05:05:03.0
8,532,2006-02-15 05:05:03.0
8,554,2006-02-15 05:05:03.0
8,752,2006-02-15 05:05:03.0
8,769,2006-02-15 05:05:03.0
8,771,2006-02-15 05:05:03.0
8,859,2006-02-15 05:05:03.0
8,895,2006-02-15 05:05:03.0
8,936,2006-02-15 05:05:03.0
9,30,2006-02-15 05:05:03.0
9,74,2006-02-15 05:05:03.0
9,147,2006-02-15 05:05:03.0
9,148,2006-02-15 05:05:03.0
9,191,2006-02-15 05:05:03.0
9,200,2006-02-15 05:05:03.0
9,204,2006-02-15 05:05:03.0
9,434,2006-02-15 05:05:03.0
9,510,2006-02-15 05:05:03.0
9,514,2006-02-15 05:05:03.0
9,552,2006-02-15 05:05:03.0
